"시점","상품군별(1)",인터넷쇼핑,모바일쇼핑
"2019.07","음·식료품",358010,734948
"2019.07","농축수산물",83075,199602
"2019.07","생활용품",280599,564752
"2019.07","여행 및 교통서비스",657421,994070
"2019.07","문화 및 레저서비스",93469,122460
"2019.07","음식서비스",55648,773268
"2019.08","의복",347920,564575
"2019.08","신발",59872,102668
"2019.08","화장품",433334,606331
"2019.08","음·식료품",407028,808494
"2019.08","농축수산물",104335,217195
"2019.08","생활용품",288626,586206
"2019.08","여행 및 교통서비스",658142,1034627
"2019.08","문화 및 레저서비스",96812,123257
"2019.08","음식서비스",59450,857555
"2019.09","의복",431788,755340
"2019.09","신발",78129,122879
"2019.09","화장품",483892,618749
"2019.09","음·식료품",410214,823544
"2019.09","농축수산물",126828,247714
"2019.09","생활용품",281795,577839
"2019.09","여행 및 교통서비스",533192,836955
"2019.09","문화 및 레저서비스",83251,83400
"2019.09","음식서비스",55127,799765
"2019.10","의복",509999,903280
"2019.10","신발",82966,129679
"2019.10","화장품",502379,655866
"2019.10","음·식료품",363472,827011
"2019.10","농축수산물",88826,224229
"2019.10","생활용품",291248,616337
"2019.10","여행 및 교통서비스",598342,888311
"2019.10","문화 및 레저서비스",115207,91494
"2019.10","음식서비스",59150,854572
"2019.11","의복",592593,1117449
"2019.11","신발",97033,154452
"2019.11","화장품",530197,680151
"2019.11","음·식료품",359235,838922
"2019.11","농축수산물",94042,231804
"2019.11","생활용품",295220,637539
"2019.11","여행 및 교통서비스",607963,889622
"2019.11","문화 및 레저서비스",88214,118599
"2019.11","음식서비스",61128,965853
"2019.12","의복",520303,942040
"2019.12","신발",97311,134564
"2019.12","화장품",492965,700083
"2019.12","음·식료품",376396,840785
"2019.12","농축수산물",99393,241793
"2019.12","생활용품",298547,628739
"2019.12","여행 및 교통서비스",641388,977716
"2019.12","문화 및 레저서비스",68436,116169
"2019.12","음식서비스",67608,991679
"2020.01","의복",320897,734345
"2020.01","신발",54230,128160
"2020.01","화장품",478871,667638
"2020.01","음·식료품",374501,981130
"2020.01","농축수산물",167765,324708
"2020.01","생활용품",262702,661379
"2020.01","여행 및 교통서비스",456795,947890
"2020.01","문화 및 레저서비스",55095,101406
"2020.01","음식서비스",66559,997060
"2020.02","의복",301806,684362
"2020.02","신발",59053,130839
"2020.02","화장품",431677,633853
"2020.02","음·식료품",370239,1049118
"2020.02","농축수산물",141197,339871
"2020.02","생활용품",315128,818795
"2020.02","여행 및 교통서비스",222219,462317
"2020.02","문화 및 레저서비스",23350,34409
"2020.02","음식서비스",69058,1066123
"2020.03","의복",347668,813004
"2020.03","신발",70872,156447
"2020.03","화장품",549437,455580
"2020.03","음·식료품",389152,1159276
"2020.03","농축수산물",134303,419899
"2020.03","생활용품",343598,893130
"2020.03","여행 및 교통서비스",101944,256114
"2020.03","문화 및 레저서비스",7023,14510
"2020.03","음식서비스",72457,1179839
"2020.04","의복",365979,793399
"2020.04","신발",84107,151065
"2020.04","화장품",613725,368768
"2020.04","음·식료품",373593,1060441
"2020.04","농축수산물",122577,378336
"2020.04","생활용품",316505,739491
"2020.04","여행 및 교통서비스",90801,348887
"2020.04","문화 및 레저서비스",11059,19691
"2020.04","음식서비스",77618,1185383
"2020.05","의복",392840,896853
"2020.05","신발",83799,187358
"2020.05","화장품",544433,418010
"2020.05","음·식료품",355963,1049983
"2020.05","농축수산물",109372,334508
"2020.05","생활용품",327283,810135
"2020.05","여행 및 교통서비스",108884,441793
"2020.05","문화 및 레저서비스",18708,34728
"2020.05","음식서비스",88284,1232526
"2020.06","의복",396757,896447
"2020.06","신발",91971,186704
"2020.06","화장품",603221,428728
"2020.06","음·식료품",362597,994894
"2020.06","농축수산물",127419,322496
"2020.06","생활용품",333066,811922
"2020.06","여행 및 교통서비스",117662,465106
"2020.06","문화 및 레저서비스",15397,29968
"2020.06","음식서비스",68439,1185053
"2020.07","의복",343047,757485
"2020.07","신발",82793,161577
"2020.07","화장품",639734,430998
"2020.07","음·식료품",392174,1104106
"2020.07","농축수산물",149236,344258
"2020.07","생활용품",331810,859709
"2020.07","여행 및 교통서비스",157901,624106
"2020.07","문화 및 레저서비스",27067,51889
"2020.07","음식서비스",73213,1305571
"2020.08","의복",286795,647673
"2020.08","신발",61406,137508
"2020.08","화장품",709524,426372
"2020.08","음·식료품",384112,1169716
"2020.08","농축수산물",143637,387136
"2020.08","생활용품",325816,930650
"2020.08","여행 및 교통서비스",160661,620054
"2020.08","문화 및 레저서비스",16459,42418
"2020.08","음식서비스",84744,1592675
"2020.09","의복",360967,820640
"2020.09","신발",71103,147008
"2020.09","화장품",662349,464762
"2020.09","음·식료품",513649,1381764
"2020.09","농축수산물",230277,552702
"2020.09","생활용품",332078,872005
"2020.09","여행 및 교통서비스",104505,441892
"2020.09","문화 및 레저서비스",12061,28739
"2020.09","음식서비스",74261,1529963
"2020.10","의복",479629,1152610
"2020.10","신발",79053,181125
"2020.10","화장품",616397,465530
"2020.10","음·식료품",397875,1156920
"2020.10","농축수산물",133262,400662
"2020.10","생활용품",310590,832138
"2020.10","여행 및 교통서비스",146471,532341
"2020.10","문화 및 레저서비스",29574,49254
"2020.10","음식서비스",68510,1478372
"2020.11","의복",552723,1219551
"2020.11","신발",109037,203835
"2020.11","화장품",672859,509814
"2020.11","음·식료품",435169,1220170
"2020.11","농축수산물",149928,410631
"2020.11","생활용품",329747,850550
"2020.11","여행 및 교통서비스",149213,535226
"2020.11","문화 및 레저서비스",30474,38903
"2020.11","음식서비스",70275,1572953
"2020.12","의복",466430,1066008
"2020.12","신발",83488,187901
"2020.12","화장품",589316,558970
"2020.12","음·식료품",477547,1401871
"2020.12","농축수산물",188939,548078
"2020.12","생활용품",371859,972945
"2020.12","여행 및 교통서비스",90366,379276
"2020.12","문화 및 레저서비스",3484,3959
"2020.12","음식서비스",87035,2111121
"2021.01","의복",304546,820338
"2021.01","신발",64255,141920
"2021.01","화장품",613312,534439
"2021.01","음·식료품",495902,1486056
"2021.01","농축수산물",194477,612173
"2021.01","생활용품",321382,937168
"2021.01","여행 및 교통서비스",89120,407448
"2021.01","문화 및 레저서비스",10302,18727
"2021.01","음식서비스",67562,1988503
"2021.02","의복",257536,774700
"2021.02","신발",70186,154038
"2021.02","화장품",471420,495492
"2021.02","음·식료품",440637,1300842
"2021.02","농축수산물",179807,522842
"2021.02","생활용품",290631,827468
"2021.02","여행 및 교통서비스",117466,452203
"2021.02","문화 및 레저서비스",25595,43253
"2021.02","음식서비스",60117,1792081
"2021.03","의복",381946,1112270
"2021.03","신발",97134,217147
"2021.03","화장품",565467,546232
"2021.03","음·식료품",457032,1383329
"2021.03","농축수산물",149084,497057
"2021.03","생활용품",335114,939547
"2021.03","여행 및 교통서비스",126601,485713
"2021.03","문화 및 레저서비스",28824,49044
"2021.03","음식서비스",59810,1938450
"2021.04","의복",389865,1048461
"2021.04","신발",92165,192141
"2021.04","화장품",546303,549965
"2021.04","음·식료품",456317,1366920
"2021.04","농축수산물",140637,488527
"2021.04","생활용품",320261,903636
"2021.04","여행 및 교통서비스",161947,528860
"2021.04","문화 및 레저서비스",28977,47084
"2021.04","음식서비스",53982,1955642
"2021.05","의복",356514,1048361
"2021.05","신발",106967,210579
"2021.05","화장품",627130,571895
"2021.05","음·식료품",464656,1409129
"2021.05","농축수산물",141927,502347
"2021.05","생활용품",326245,942760
"2021.05","여행 및 교통서비스",177072,594368
"2021.05","문화 및 레저서비스",32716,57727
"2021.05","음식서비스",57461,2131344
"2021.06","의복",364538,1052065
"2021.06","신발",115114,207522
"2021.06","화장품",537069,559705
"2021.06","음·식료품",455613,1333242
"2021.06","농축수산물",139790,472559
"2021.06","생활용품",326374,928866
"2021.06","여행 및 교통서비스",178431,610876
"2021.06","문화 및 레저서비스",43239,71117
"2021.06","음식서비스",51466,1968130
"2021.07","의복",334011,964134
"2021.07","신발",88639,184402
"2021.07","화장품",494430,558236
"2021.07","음·식료품",479811,1423395
"2021.07","농축수산물",146884,503524
"2021.07","생활용품",333481,980315
"2021.07","여행 및 교통서비스",188267,600927
"2021.07","문화 및 레저서비스",29270,51373
"2021.07","음식서비스",59661,2358398
"2021.08","의복",267773,809471
"2021.08","신발",84567,151193
"2021.08","화장품",389978,584729
"2021.08","음·식료품",503976,1478414
"2021.08","농축수산물",159061,547387
"2021.08","생활용품",321971,968416
"2021.08","여행 및 교통서비스",188488,599501
"2021.08","문화 및 레저서비스",31005,59352
"2021.08","음식서비스",58061,2397833
"2021.09","의복",332776,1032435
"2021.09","신발",75751,179030
"2021.09","화장품",464003,597985
"2021.09","음·식료품",526388,1553671
"2021.09","농축수산물",222442,625561
"2021.09","생활용품",312739,965710
"2021.09","여행 및 교통서비스",179342,580426
"2021.09","문화 및 레저서비스",30655,58155
"2021.09","음식서비스",59192,2171862
"2021.10","의복",448603,1381096
"2021.10","신발",84947,216769
"2021.10","화장품",461829,567877
"2021.10","음·식료품",482799,1419084
"2021.10","농축수산물",152114,499052
"2021.10","생활용품",340251,986740
"2021.10","여행 및 교통서비스",204380,685194
"2021.10","문화 및 레저서비스",52466,80569
"2021.10","음식서비스",55321,2252435
"2021.11","의복",499606,1497011
"2021.11","신발",109030,231196
"2021.11","화장품",486791,632985
"2021.11","음·식료품",478960,1456011
"2021.11","농축수산물",148841,509742
"2021.11","생활용품",353966,982339
"2021.11","여행 및 교통서비스",251920,729359
"2021.11","문화 및 레저서비스",71001,102314
"2021.11","음식서비스",45502,2078946
"2021.12","의복",468695,1427194
"2021.12","신발",103716,238136
"2021.12","화장품",306741,713159
"2021.12","음·식료품",502045,1559974
"2021.12","농축수산물",173067,604487
"2021.12","생활용품",362958,1082015
"2021.12","여행 및 교통서비스",223718,743506
"2021.12","문화 및 레저서비스",48321,85616
"2021.12","음식서비스",54361,2443537
"2022.01","의복",306188,1087342
"2022.01","신발",85092,178252
"2022.01","화장품",255987,670680
"2022.01","음·식료품",594975,1728280
"2022.01","농축수산물",261257,771826
"2022.01","생활용품",332363,1019285
"2022.01","여행 및 교통서비스",208205,725726
"2022.01","문화 및 레저서비스",47342,76091
"2022.01","음식서비스",51266,2380060
"2022.02","의복",275368,974648
"2022.02","신발",74423,179964
"2022.02","화장품",256221,652404
"2022.02","음·식료품",432862,1531303
"2022.02","농축수산물",126714,539118
"2022.02","생활용품",294805,1038365
"2022.02","여행 및 교통서비스",186689,594503
"2022.02","문화 및 레저서비스",35905,51164
"2022.02","음식서비스",49522,2232203
"2022.03","의복",373144,1298140
"2022.03","신발",98582,228639
"2022.03","화장품",310786,691877
"2022.03","음·식료품",527640,1751207
"2022.03","농축수산물",194883,624681
"2022.03","생활용품",333853,1125872
"2022.03","여행 및 교통서비스",255814,665783
"2022.03","문화 및 레저서비스",52496,60789
"2022.03","음식서비스",49492,2372920
"2022.04","의복",406268,1362360
"2022.04","신발",100280,239787
"2022.04","화장품",272809,641235
"2022.04","음·식료품",512501,1619753
"2022.04","농축수산물",181503,559539
"2022.04","생활용품",315631,1022591
"2022.04","여행 및 교통서비스",395581,902337
"2022.04","문화 및 레저서비스",68769,99217
"2022.04","음식서비스",43815,2091751
"2022.05","의복",401602,1346900
"2022.05","신발",124136,245066
"2022.05","화장품",265303,716306
"2022.05","음·식료품",525944,1666973
"2022.05","농축수산물",185270,550478
"2022.05","생활용품",330176,1050206
"2022.05","여행 및 교통서비스",465903,1048319
"2022.05","문화 및 레저서비스",100741,151901
"2022.05","음식서비스",44575,2074283
"2022.06","의복",378385,1261014
"2022.06","신발",96552,241975
"2022.06","화장품",270083,671020
"2022.06","음·식료품",501526,1596998
"2022.06","농축수산물",173729,533453
"2022.06","생활용품",308798,1060147
"2022.06","여행 및 교통서비스",470423,1039451
"2022.06","문화 및 레저서비스",129024,182553
"2022.06","음식서비스",39867,2073834
"2022.07","의복",326926,1193144
"2022.07","신발",83854,222553
"2022.07","화장품",217278,638413
"2022.07","음·식료품",503729,1648900
"2022.07","농축수산물",172612,543284
"2022.07","생활용품",302454,1080006
"2022.07","여행 및 교통서비스",499276,1174411
"2022.07","문화 및 레저서비스",93104,172433
"2022.07","음식서비스",43126,2253979
"2022.08","의복",296679,1023518
"2022.08","신발",105474,190471
"2022.08","화장품",212737,669468
"2022.08","음·식료품",612065,1900534
"2022.08","농축수산물",228230,664723
"2022.08","생활용품",321522,1134863
"2022.08","여행 및 교통서비스",494988,1219004
"2022.08","문화 및 레저서비스",88123,157755
"2022.08","음식서비스",42626,2232044
"2022.09","의복",353887,1257574
"2022.09","신발",85440,212074
"2022.09","화장품",232194,664819
"2022.09","음·식료품",524875,1727379
"2022.09","농축수산물",193060,641006
"2022.09","생활용품",290023,1037978
"2022.09","여행 및 교통서비스",457514,1044876
"2022.09","문화 및 레저서비스",99529,115687
"2022.09","음식서비스",36595,1963891
"2022.10","의복",477303,1535465
"2022.10","신발",87001,241693
"2022.10","화장품",238800,666343
"2022.10","음·식료품",560689,1598920
"2022.10","농축수산물",187868,548009
"2022.10","생활용품",346987,1012023
"2022.10","여행 및 교통서비스",493918,1139389
"2022.10","문화 및 레저서비스",102970,126635
"2022.10","음식서비스",37986,2099451
"2022.11","의복",517977,1569815
"2022.11","신발",122551,254545
"2022.11","화장품",213720,705370
"2022.11","음·식료품",601190,1682561
"2022.11","농축수산물",204945,559431
"2022.11","생활용품",376006,1045604
"2022.11","여행 및 교통서비스",451186,1124410
"2022.11","문화 및 레저서비스",86217,116605
"2022.11","음식서비스",36591,2036813
"2022.12","의복",506958,1546355
"2022.12","신발",106666,267902
"2022.12","화장품",210926,719183
"2022.12","음·식료품",624911,1685596
"2022.12","농축수산물",225357,608488
"2022.12","생활용품",377567,1072582
"2022.12","여행 및 교통서비스",499580,1259188
"2022.12","문화 및 레저서비스",85344,149743
"2022.12","음식서비스",40575,2258120
"2023.01","의복",331433,1145700
"2023.01","신발",96237,180647
"2023.01","화장품",176876,748482
"2023.01","음·식료품",692345,1874149
"2023.01","농축수산물",285794,784252
"2023.01","생활용품",311929,1017226
"2023.01","여행 및 교통서비스",584015,1229959
"2023.01","문화 및 레저서비스",68022,131100
"2023.01","음식서비스",39031,2189819
"2023.02","의복",363179,1116883
"2023.02","신발",111566,193134
"2023.02","화장품",184919,693790
"2023.02","음·식료품",536671,1596972
"2023.02","농축수산물",182667,548395
"2023.02","생활용품",302008,969387
"2023.02","여행 및 교통서비스",589263,1167555
"2023.02","문화 및 레저서비스",72368,119465
"2023.02","음식서비스",34709,1991042
"2023.03","의복",465667,1477419
"2023.03","신발",118103,252523
"2023.03","화장품",218354,756464
"2023.03","음·식료품",638699,1811457
"2023.03","농축수산물",215628,601484
"2023.03","생활용품",363734,1083080
"2023.03","여행 및 교통서비스",565990,1174473
"2023.03","문화 및 레저서비스",85868,119032
"2023.03","음식서비스",37127,2070561
"2023.04","의복",450123,1335649
"2023.04","신발",114715,227138
"2023.04","화장품",249648,722165
"2023.04","음·식료품",614351,1735895
"2023.04","농축수산물",204092,580993
"2023.04","생활용품",341253,1018331
"2023.04","여행 및 교통서비스",580460,1241974
"2023.04","문화 및 레저서비스",94355,125224
"2023.04","음식서비스",37464,2064462
"2023.05","의복",456637,1434480
"2023.05","신발",115789,255996
"2023.05","화장품",253945,767988
"2023.05","음·식료품",639645,1857810
"2023.05","농축수산물",210497,623464
"2023.05","생활용품",352127,1122518
"2023.05","여행 및 교통서비스",719385,1404482
"2023.05","문화 및 레저서비스",112671,149701
"2023.05","음식서비스",37326,2143926
"2023.06","의복",454820,1258930
"2023.06","신발",97422,237120
"2023.06","화장품",229694,727744
"2023.06","음·식료품",613103,1793925
"2023.06","농축수산물",210887,612983
"2023.06","생활용품",350740,1097985
"2023.06","여행 및 교통서비스",669668,1336536
"2023.06","문화 및 레저서비스",154864,179180
"2023.06","음식서비스",35242,2095103
"2023.07","의복",393115,1232187
"2023.07","신발",106277,225236
"2023.07","화장품",229742,715633
"2023.07","음·식료품",615947,1859107
"2023.07","농축수산물",215737,630956
"2023.07","생활용품",344831,1131991
"2023.07","여행 및 교통서비스",719912,1481189
"2023.07","문화 및 레저서비스",105407,168185
"2023.07","음식서비스",38437,2305345
"2023.08","의복",356631,1028897
"2023.08","신발",85173,184003
"2023.08","화장품",230334,758581
"2023.08","음·식료품",651298,1974401
"2023.08","농축수산물",235734,697364
"2023.08","생활용품",350671,1132410
"2023.08","여행 및 교통서비스",743532,1495796
"2023.08","문화 및 레저서비스",125125,166672
"2023.08","음식서비스",37800,2331354
"2023.09","의복",448876,1149527
"2023.09","신발",80459,196863
"2023.09","화장품",221370,775286
"2023.09","음·식료품",708799,2029357
"2023.09","농축수산물",313262,864101
"2023.09","생활용품",328041,1072760
"2023.09","여행 및 교통서비스",726377,1372980
"2023.09","문화 및 레저서비스",100934,121855
"2023.09","음식서비스",34191,2107896
"2023.10","의복",531674,1623765
"2023.10","신발",121081,241675
"2023.10","화장품",250276,796492
"2023.10","음·식료품",609620,1855749
"2023.10","농축수산물",229154,657736
"2023.10","생활용품",357190,1148536
"2023.10","여행 및 교통서비스",740015,1388873
"2023.10","문화 및 레저서비스",120519,152225
"2023.10","음식서비스",36004,2153610
"2023.11","의복",636149,1763483
"2023.11","신발",109520,272467
"2023.11","화장품",262746,839098
"2023.11","음·식료품",636634,1945500
"2023.11","농축수산물",238688,695656
"2023.11","생활용품",390902,1182199
"2023.11","여행 및 교통서비스",664179,1369969
"2023.11","문화 및 레저서비스",115104,142490
"2023.11","음식서비스",34532,2126642
"2023.12","의복",517533,1505334
"2023.12","신발",81751,251828
"2023.12","화장품",204952,857484
"2023.12","음·식료품",616095,1933986
"2023.12","농축수산물",243152,766183
"2023.12","생활용품",356308,1179688
"2023.12","여행 및 교통서비스",704069,1466681
"2023.12","문화 및 레저서비스",92373,156355
"2023.12","음식서비스",38326,2381216
"2024.01","의복",379770,1147457
"2024.01","신발",71931,181386
"2024.01","화장품",234226,855614
"2024.01","음·식료품",734608,2186402
"2024.01","농축수산물",305572,891134
"2024.01","생활용품",352013,1156589
"2024.01","여행 및 교통서비스",769509,1552361
"2024.01","문화 및 레저서비스",82961,124030
"2024.01","음식서비스",35195,2210858
"2024.02","의복",423847,1123200
"2024.02","신발",110624,191635
"2024.02","화장품",165689,795821
"2024.02","음·식료품",594206,1990616
"2024.02","농축수산물",252586,836889
"2024.02","생활용품",305881,1111994
"2024.02","여행 및 교통서비스",696352,1452625
"2024.02","문화 및 레저서비스",93719,144046
"2024.02","음식서비스",33321,2118564
"2024.03","의복",429107,1443690
"2024.03","신발",93311,230190
"2024.03","화장품",201188,878433
"2024.03","음·식료품",644042,2134090
"2024.03","농축수산물",249467,786491
"2024.03","생활용품",356305,1226652
"2024.03","여행 및 교통서비스",675336,1420960
"2024.03","문화 및 레저서비스",119214,137801
"2024.03","음식서비스",33851,2244521
"2024.04","의복",448064,1470830
"2024.04","신발",98939,235227
"2024.04","화장품",221117,834974
"2024.04","음·식료품",634821,2135330
"2024.04","농축수산물",239240,753076
"2024.04","생활용품",348782,1182190
"2024.04","여행 및 교통서비스",670869,1418021
"2024.04","문화 및 레저서비스",118206,143161
"2024.04","음식서비스",30743,2177985
"2024.05","의복",427226,1399003
"2024.05","신발",112591,247047
"2024.05","화장품",208602,872990
"2024.05","음·식료품",662590,2229613
"2024.05","농축수산물",253464,791694
"2024.05","생활용품",355660,1249947
"2024.05","여행 및 교통서비스",792951,1575924
"2024.05","문화 및 레저서비스",103534,140195
"2024.05","음식서비스",31338,2329752
"2024.06","의복",451747,1323126
"2024.06","신발",79279,234743
"2024.06","화장품",183371,836345
"2024.06","음·식료품",609041,2084228
"2024.06","농축수산물",238294,736958
"2024.06","생활용품",339506,1223345
"2024.06","여행 및 교통서비스",642477,1434229
"2024.06","문화 및 레저서비스",156252,174140
"2024.06","음식서비스",31818,2364246
"2024.07","의복",402414,1240302
"2024.07","신발",82897,232687
"2024.07","화장품",187336,801413
"2024.07","음·식료품",646122,2190001
"2024.07","농축수산물",227862,751319
"2024.07","생활용품",364217,1277069
"2024.07","여행 및 교통서비스",725634,1546343
"2024.07","문화 및 레저서비스",112907,160144
"2024.07","음식서비스",33890,2504581
"2024.08","의복",362155,999351
"2024.08","신발",94094,179145
"2024.08","화장품",178648,834960
"2024.08","음·식료품",697052,2334716
"2024.08","농축수산물",255117,807716
"2024.08","생활용품",350877,1251030
"2024.08","여행 및 교통서비스",705579,1626290
"2024.08","문화 및 레저서비스",123387,167644
"2024.08","음식서비스",35334,2685944
"2024.09","의복",411669,1116919
"2024.09","신발",76550,194905
"2024.09","화장품",182894,832651
"2024.09","음·식료품",696682,2330505
"2024.09","농축수산물",294997,921538
"2024.09","생활용품",319691,1191520
"2024.09","여행 및 교통서비스",683744,1389305
"2024.09","문화 및 레저서비스",161938,167441
"2024.09","음식서비스",32065,2480672
"2024.10","의복",524142,1556269
"2024.10","신발",78708,230026
"2024.10","화장품",186657,844089
"2024.10","음·식료품",652872,2240829
"2024.10","농축수산물",240937,788154
"2024.10","생활용품",364138,1236281
"2024.10","여행 및 교통서비스",768819,1493506
"2024.10","문화 및 레저서비스",112487,157190
"2024.10","음식서비스",32309,2501951
"2024.11 p)","의복",661029,1757806
"2024.11 p)","신발",114736,276358
"2024.11 p)","화장품",205439,878058
"2024.11 p)","음·식료품",663678,2241727
"2024.11 p)","농축수산물",245668,791741
"2024.11 p)","생활용품",379692,1231172
"2024.11 p)","여행 및 교통서비스",688081,1417280
"2024.11 p)","문화 및 레저서비스",100329,151059
"2024.11 p)","음식서비스",30714,2456632
"2024.12 p)","의복",527686,1620098
"2024.12 p)","신발",74162,268212
"2024.12 p)","화장품",203153,939104
"2024.12 p)","음·식료품",635251,2289418
"2024.12 p)","농축수산물",255558,862057
"2024.12 p)","생활용품",366928,1242391
"2024.12 p)","여행 및 교통서비스",754717,1478405
"2024.12 p)","문화 및 레저서비스",82688,117604
"2024.12 p)","음식서비스",34997,2808932
